word=de,f=221,flags=,originalFreq=221
word=dernier,f=158,flags=,originalFreq=158
word=ensuite,f=158,flags=,originalFreq=158
word=habitants,f=158,flags=,originalFreq=158
word=juin,f=158,flags=,originalFreq=158
word=ligne,f=158,flags=,originalFreq=158
word=nouvelle,f=158,flags=,originalFreq=158
word=part,f=158,flags=,originalFreq=158
word=près,f=158,flags=,originalFreq=158
word=s'est,f=158,flags=,originalFreq=158
word=selon,f=158,flags=,originalFreq=158
word=étaient,f=158,flags=,originalFreq=158
word=France,f=157,flags=,originalFreq=157
word=autre,f=157,flags=,originalFreq=157
word=celle,f=157,flags=,originalFreq=157
word=celui,f=157,flags=,originalFreq=157
word=chaque,f=157,flags=,originalFreq=157
word=chez,f=157,flags=,originalFreq=157
word=doit,f=157,flags=,originalFreq=157
word=département,f=157,flags=,originalFreq=157
word=exemple,f=157,flags=,originalFreq=157
word=furent,f=157,flags=,originalFreq=157
word=jour,f=157,flags=,originalFreq=157
word=juillet,f=157,flags=,originalFreq=157
word=mai,f=157,flags=,originalFreq=157
word=mois,f=157,flags=,originalFreq=157
word=niveau,f=157,flags=,originalFreq=157
word=nord,f=157,flags=,originalFreq=157
word=permet,f=157,flags=,originalFreq=157
word=père,f=157,flags=,originalFreq=157
word=reste,f=157,flags=,originalFreq=157
word=sera,f=157,flags=,originalFreq=157
word=sud,f=157,flags=,originalFreq=157
word=toujours,f=157,flags=,originalFreq=157
word=toute,f=157,flags=,originalFreq=157
word=village,f=157,flags=,originalFreq=157
word=étant,f=157,flags=,originalFreq=157
word=afin,f=156,flags=,originalFreq=156
word=ayant,f=156,flags=,originalFreq=156
word=car,f=156,flags=,originalFreq=156
word=carrière,f=156,flags=,originalFreq=156
word=centre,f=156,flags=,originalFreq=156
word=certains,f=156,flags=,originalFreq=156
word=compte,f=156,flags=,originalFreq=156
word=deuxième,f=156,flags=,originalFreq=156
word=durant,f=156,flags=,originalFreq=156
word=décembre,f=156,flags=,originalFreq=156
word=effet,f=156,flags=,originalFreq=156
word=gouvernement,f=156,flags=,originalFreq=156
word=janvier,f=156,flags=,originalFreq=156
word=jeu,f=156,flags=,originalFreq=156
word=l'un,f=156,flags=,originalFreq=156
word=mars,f=156,flags=,originalFreq=156
word=peuvent,f=156,flags=,originalFreq=156
word=point,f=156,flags=,originalFreq=156
word=période,f=156,flags=,originalFreq=156
word=qu'elle,f=156,flags=,originalFreq=156
word=situé,f=156,flags=,originalFreq=156
word=système,f=156,flags=,originalFreq=156
word=tant,f=156,flags=,originalFreq=156
word=tour,f=156,flags=,originalFreq=156
word=toutes,f=156,flags=,originalFreq=156
word=année,f=155,flags=,originalFreq=155
word=août,f=155,flags=,originalFreq=155
word=aujourd'hui,f=155,flags=,originalFreq=155
word=avril,f=155,flags=,originalFreq=155
word=droit,f=155,flags=,originalFreq=155
word=face,f=155,flags=,originalFreq=155
word=l'équipe,f=155,flags=,originalFreq=155
word=membres,f=155,flags=,originalFreq=155
word=n'a,f=155,flags=,originalFreq=155
word=nombreuses,f=155,flags=,originalFreq=155
word=nommé,f=155,flags=,originalFreq=155
word=novembre,f=155,flags=,originalFreq=155
word=octobre,f=155,flags=,originalFreq=155
word=pouvoir,f=155,flags=,originalFreq=155
word=président,f=155,flags=,originalFreq=155
word=rôle,f=155,flags=,originalFreq=155
word=société,f=155,flags=,originalFreq=155
word=succès,f=155,flags=,originalFreq=155
word=cet,f=154,flags=,originalFreq=154
word=chef,f=154,flags=,originalFreq=154
word=château,f=154,flags=,originalFreq=154
word=cinq,f=154,flags=,originalFreq=154
word=connu,f=154,flags=,originalFreq=154
word=février,f=154,flags=,originalFreq=154
word=jeune,f=154,flags=,originalFreq=154
word=jours,f=154,flags=,originalFreq=154
word=membre,f=154,flags=,originalFreq=154
word=mondiale,f=154,flags=,originalFreq=154
word=musique,f=154,flags=,originalFreq=154
word=national,f=154,flags=,originalFreq=154
word=personnes,f=154,flags=,originalFreq=154
word=premiers,f=154,flags=,originalFreq=154
word=prend,f=154,flags=,originalFreq=154
word=service,f=154,flags=,originalFreq=154
word=travail,f=154,flags=,originalFreq=154
word=base,f=153,flags=,originalFreq=153
word=beaucoup,f=153,flags=,originalFreq=153
word=construction,f=153,flags=,originalFreq=153
word=corps,f=153,flags=,originalFreq=153
word=dit,f=153,flags=,originalFreq=153
word=développement,f=153,flags=,originalFreq=153
word=environ,f=153,flags=,originalFreq=153
word=grâce,f=153,flags=,originalFreq=153
word=hommes,f=153,flags=,originalFreq=153
word=l'année,f=153,flags=,originalFreq=153
word=l'histoire,f=153,flags=,originalFreq=153
word=l'époque,f=153,flags=,originalFreq=153
word=laquelle,f=153,flags=,originalFreq=153
word=long,f=153,flags=,originalFreq=153
word=match,f=153,flags=,originalFreq=153
word=parfois,f=153,flags=,originalFreq=153
word=points,f=153,flags=,originalFreq=153
word=projet,f=153,flags=,originalFreq=153
word=province,f=153,flags=,originalFreq=153
word=rue,f=153,flags=,originalFreq=153
word=seul,f=153,flags=,originalFreq=153
word=terme,f=153,flags=,originalFreq=153
word=territoire,f=153,flags=,originalFreq=153
word=tête,f=153,flags=,originalFreq=153
word=Paris,f=152,flags=,originalFreq=152
word=album,f=152,flags=,originalFreq=152
word=américain,f=152,flags=,originalFreq=152
word=but,f=152,flags=,originalFreq=152
word=communes,f=152,flags=,originalFreq=152
word=création,f=152,flags=,originalFreq=152
word=d'être,f=152,flags=,originalFreq=152
word=déjà,f=152,flags=,originalFreq=152
word=enfants,f=152,flags=,originalFreq=152
word=espèce,f=152,flags=,originalFreq=152
word=femme,f=152,flags=,originalFreq=152
word=fille,f=152,flags=,originalFreq=152
word=joueur,f=152,flags=,originalFreq=152
word=l'on,f=152,flags=,originalFreq=152
word=mise,f=152,flags=,originalFreq=152
word=poste,f=152,flags=,originalFreq=152
word=production,f=152,flags=,originalFreq=152
word=présente,f=152,flags=,originalFreq=152
word=public,f=152,flags=,originalFreq=152
word=raison,f=152,flags=,originalFreq=152
word=sein,f=152,flags=,originalFreq=152
word=site,f=152,flags=,originalFreq=152
word=surtout,f=152,flags=,originalFreq=152
word=troisième,f=152,flags=,originalFreq=152
word=type,f=152,flags=,originalFreq=152
word=va,f=152,flags=,originalFreq=152
word=version,f=152,flags=,originalFreq=152
word=voir,f=152,flags=,originalFreq=152
word=études,f=152,flags=,originalFreq=152
word=ancien,f=151,flags=,originalFreq=151
word=ceux,f=151,flags=,originalFreq=151
word=championnat,f=151,flags=,originalFreq=151
word=côté,f=151,flags=,originalFreq=151
word=date,f=151,flags=,originalFreq=151
word=dernière,f=151,flags=,originalFreq=151
word=devant,f=151,flags=,originalFreq=151
word=différents,f=151,flags=,originalFreq=151
word=etc,f=151,flags=,originalFreq=151
word=eu,f=151,flags=,originalFreq=151
word=fonction,f=151,flags=,originalFreq=151
word=formation,f=151,flags=,originalFreq=151
word=grands,f=151,flags=,originalFreq=151
word=homme,f=151,flags=,originalFreq=151
word=jamais,f=151,flags=,originalFreq=151
word=km,f=151,flags=,originalFreq=151
word=l'armée,f=151,flags=,originalFreq=151
word=loi,f=151,flags=,originalFreq=151
word=maison,f=151,flags=,originalFreq=151
word=milieu,f=151,flags=,originalFreq=151
word=militaire,f=151,flags=,originalFreq=151
word=ministre,f=151,flags=,originalFreq=151
word=nous,f=151,flags=,originalFreq=151
word=parmi,f=151,flags=,originalFreq=151
word=parti,f=151,flags=,originalFreq=151
word=particulier,f=151,flags=,originalFreq=151
word=petit,f=151,flags=,originalFreq=151
word=plupart,f=151,flags=,originalFreq=151
word=porte,f=151,flags=,originalFreq=151
word=prix,f=151,flags=,originalFreq=151
word=produit,f=151,flags=,originalFreq=151
word=qu'ils,f=151,flags=,originalFreq=151
word=rencontre,f=151,flags=,originalFreq=151
word=retour,f=151,flags=,originalFreq=151
word=s'agit,f=151,flags=,originalFreq=151
word=seconde,f=151,flags=,originalFreq=151
word=seulement,f=151,flags=,originalFreq=151
word=siècle,f=151,flags=,originalFreq=151
word=travaux,f=151,flags=,originalFreq=151
word=utilisé,f=151,flags=,originalFreq=151
word=écrit,f=151,flags=,originalFreq=151
word=anglais,f=150,flags=,originalFreq=150
word=aurait,f=150,flags=,originalFreq=150
word=autour,f=150,flags=,originalFreq=150
word=bataille,f=150,flags=,originalFreq=150
word=cause,f=150,flags=,originalFreq=150
word=cela,f=150,flags=,originalFreq=150
word=cependant,f=150,flags=,originalFreq=150
word=créé,f=150,flags=,originalFreq=150
word=d'abord,f=150,flags=,originalFreq=150
word=différentes,f=150,flags=,originalFreq=150
word=direction,f=150,flags=,originalFreq=150
word=division,f=150,flags=,originalFreq=150
word=donne,f=150,flags=,originalFreq=150
word=existe,f=150,flags=,originalFreq=150
word=finale,f=150,flags=,originalFreq=150
word=fit,f=150,flags=,originalFreq=150
word=font,f=150,flags=,originalFreq=150
word=football,f=150,flags=,originalFreq=150
word=important,f=150,flags=,originalFreq=150
word=joue,f=150,flags=,originalFreq=150
word=jusqu'en,f=150,flags=,originalFreq=150
word=l'État,f=150,flags=,originalFreq=150
word=l'île,f=150,flags=,originalFreq=150
word=langue,f=150,flags=,originalFreq=150
word=livre,f=150,flags=,originalFreq=150
word=manière,f=150,flags=,originalFreq=150
word=millions,f=150,flags=,originalFreq=150
word=mis,f=150,flags=,originalFreq=150
word=mouvement,f=150,flags=,originalFreq=150
word=mètres,f=150,flags=,originalFreq=150
word=passe,f=150,flags=,originalFreq=150
word=petite,f=150,flags=,originalFreq=150
word=plan,f=150,flags=,originalFreq=150
word=possède,f=150,flags=,originalFreq=150
word=premières,f=150,flags=,originalFreq=150
word=qu'un,f=150,flags=,originalFreq=150
word=quand,f=150,flags=,originalFreq=150
word=rapport,f=150,flags=,originalFreq=150
word=recherche,f=150,flags=,originalFreq=150
word=route,f=150,flags=,originalFreq=150
word=réseau,f=150,flags=,originalFreq=150
word=scène,f=150,flags=,originalFreq=150
word=septembre,f=150,flags=,originalFreq=150
word=seule,f=150,flags=,originalFreq=150
word=siège,f=150,flags=,originalFreq=150
word=suivante,f=150,flags=,originalFreq=150
word=zone,f=150,flags=,originalFreq=150
word=équipe,f=150,flags=,originalFreq=150
word=appelé,f=149,flags=,originalFreq=149
word=certaines,f=149,flags=,originalFreq=149
word=chanson,f=149,flags=,originalFreq=149
word=commence,f=149,flags=,originalFreq=149
word=domaine,f=149,flags=,originalFreq=149
word=elles,f=149,flags=,originalFreq=149
word=espèces,f=149,flags=,originalFreq=149
word=frère,f=149,flags=,originalFreq=149
word=genre,f=149,flags=,originalFreq=149
word=grandes,f=149,flags=,originalFreq=149
word=lequel,f=149,flags=,originalFreq=149
word=lorsque,f=149,flags=,originalFreq=149
word=moment,f=149,flags=,originalFreq=149
word=mère,f=149,flags=,originalFreq=149
word=participe,f=149,flags=,originalFreq=149
word=principalement,f=149,flags=,originalFreq=149
word=propre,f=149,flags=,originalFreq=149
word=qu'une,f=149,flags=,originalFreq=149
word=second,f=149,flags=,originalFreq=149
word=style,f=149,flags=,originalFreq=149
word=terre,f=149,flags=,originalFreq=149
word=travers,f=149,flags=,originalFreq=149
word=an,f=148,flags=,originalFreq=148
word=assez,f=148,flags=,originalFreq=148
word=avaient,f=148,flags=,originalFreq=148
word=bois,f=148,flags=,originalFreq=148
word=cadre,f=148,flags=,originalFreq=148
word=compagnie,f=148,flags=,originalFreq=148
word=demande,f=148,flags=,originalFreq=148
word=directeur,f=148,flags=,originalFreq=148
word=donné,f=148,flags=,originalFreq=148
word=eux,f=148,flags=,originalFreq=148
word=façon,f=148,flags=,originalFreq=148
word=gauche,f=148,flags=,originalFreq=148
word=groupes,f=148,flags=,originalFreq=148
word=haut,f=148,flags=,originalFreq=148
word=importante,f=148,flags=,originalFreq=148
word=jeunes,f=148,flags=,originalFreq=148
word=l'autre,f=148,flags=,originalFreq=148
word=l'ensemble,f=148,flags=,originalFreq=148
word=l'origine,f=148,flags=,originalFreq=148
word=l'une,f=148,flags=,originalFreq=148
word=l'église,f=148,flags=,originalFreq=148
word=mer,f=148,flags=,originalFreq=148
word=mesure,f=148,flags=,originalFreq=148
word=moyenne,f=148,flags=,originalFreq=148
word=nouvelles,f=148,flags=,originalFreq=148
word=particulièrement,f=148,flags=,originalFreq=148
word=possible,f=148,flags=,originalFreq=148
word=présence,f=148,flags=,originalFreq=148
word=quartier,f=148,flags=,originalFreq=148
word=rapidement,f=148,flags=,originalFreq=148
word=remporte,f=148,flags=,originalFreq=148
word=retrouve,f=148,flags=,originalFreq=148
word=réalisé,f=148,flags=,originalFreq=148
word=sens,f=148,flags=,originalFreq=148
word=sorti,f=148,flags=,originalFreq=148
word=tandis,f=148,flags=,originalFreq=148
word=troupes,f=148,flags=,originalFreq=148
word=victoire,f=148,flags=,originalFreq=148
word=voie,f=148,flags=,originalFreq=148
word=voit,f=148,flags=,originalFreq=148
word=vue,f=148,flags=,originalFreq=148
word=époque,f=148,flags=,originalFreq=148
word=œuvre,f=148,flags=,originalFreq=148
word=allemand,f=147,flags=,originalFreq=147
word=américaine,f=147,flags=,originalFreq=147
word=britannique,f=147,flags=,originalFreq=147
word=capitale,f=147,flags=,originalFreq=147
word=communauté,f=147,flags=,originalFreq=147
word=comte,f=147,flags=,originalFreq=147
word=construit,f=147,flags=,originalFreq=147
word=culture,f=147,flags=,originalFreq=147
word=d'eau,f=147,flags=,originalFreq=147
word=d'origine,f=147,flags=,originalFreq=147
word=droite,f=147,flags=,originalFreq=147
word=faut,f=147,flags=,originalFreq=147
word=femmes,f=147,flags=,originalFreq=147
word=fer,f=147,flags=,originalFreq=147
word=finalement,f=147,flags=,originalFreq=147
word=gare,f=147,flags=,originalFreq=147
word=international,f=147,flags=,originalFreq=147
word=l'Université,f=147,flags=,originalFreq=147
word=l'est,f=147,flags=,originalFreq=147
word=l'ordre,f=147,flags=,originalFreq=147
word=l'ouest,f=147,flags=,originalFreq=147
word=l'âge,f=147,flags=,originalFreq=147
word=liste,f=147,flags=,originalFreq=147
word=lui-même,f=147,flags=,originalFreq=147
word=marque,f=147,flags=,originalFreq=147
word=ni,f=147,flags=,originalFreq=147
word=née,f=147,flags=,originalFreq=147
word=obtient,f=147,flags=,originalFreq=147
word=parc,f=147,flags=,originalFreq=147
word=personnage,f=147,flags=,originalFreq=147
word=politiques,f=147,flags=,originalFreq=147
word=position,f=147,flags=,originalFreq=147
word=prendre,f=147,flags=,originalFreq=147
word=principal,f=147,flags=,originalFreq=147
word=rivière,f=147,flags=,originalFreq=147
word=roman,f=147,flags=,originalFreq=147
word=semble,f=147,flags=,originalFreq=147
word=serait,f=147,flags=,originalFreq=147
word=suivant,f=147,flags=,originalFreq=147
word=taux,f=147,flags=,originalFreq=147
word=tels,f=147,flags=,originalFreq=147
word=villes,f=147,flags=,originalFreq=147
word=élu,f=147,flags=,originalFreq=147
word=œuvres,f=147,flags=,originalFreq=147
word=auprès,f=146,flags=,originalFreq=146
word=c'est-à-dire,f=146,flags=,originalFreq=146
word=classe,f=146,flags=,originalFreq=146
word=combat,f=146,flags=,originalFreq=146
word=composé,f=146,flags=,originalFreq=146
word=connue,f=146,flags=,originalFreq=146
word=contrôle,f=146,flags=,originalFreq=146
word=créée,f=146,flags=,originalFreq=146
word=célèbre,f=146,flags=,originalFreq=146
word=devint,f=146,flags=,originalFreq=146
word=décide,f=146,flags=,originalFreq=146
word=départ,f=146,flags=,originalFreq=146
word=ensemble,f=146,flags=,originalFreq=146
word=faisant,f=146,flags=,originalFreq=146
word=films,f=146,flags=,originalFreq=146
word=fort,f=146,flags=,originalFreq=146
word=matchs,f=146,flags=,originalFreq=146
word=meilleur,f=146,flags=,originalFreq=146
word=met,f=146,flags=,originalFreq=146
word=nouveaux,f=146,flags=,originalFreq=146
word=personne,f=146,flags=,originalFreq=146
word=populaire,f=146,flags=,originalFreq=146
word=proche,f=146,flags=,originalFreq=146
word=produits,f=146,flags=,originalFreq=146
word=professeur,f=146,flags=,originalFreq=146
word=publié,f=146,flags=,originalFreq=146
word=qu'en,f=146,flags=,originalFreq=146
word=rejoint,f=146,flags=,originalFreq=146
word=services,f=146,flags=,originalFreq=146
word=simple,f=146,flags=,originalFreq=146
word=sort,f=146,flags=,originalFreq=146
word=théâtre,f=146,flags=,originalFreq=146
word=trop,f=146,flags=,originalFreq=146
word=voix,f=146,flags=,originalFreq=146
word=économique,f=146,flags=,originalFreq=146
word=élections,f=146,flags=,originalFreq=146
word=équipes,f=146,flags=,originalFreq=146
word=actuellement,f=145,flags=,originalFreq=145
word=ailleurs,f=145,flags=,originalFreq=145
word=atteint,f=145,flags=,originalFreq=145
word=campagne,f=145,flags=,originalFreq=145
word=canton,f=145,flags=,originalFreq=145
word=celui-ci,f=145,flags=,originalFreq=145
word=charge,f=145,flags=,originalFreq=145
word=cinéma,f=145,flags=,originalFreq=145
word=conseil,f=145,flags=,originalFreq=145
word=devenir,f=145,flags=,originalFreq=145
word=devenu,f=145,flags=,originalFreq=145
word=droits,f=145,flags=,originalFreq=145
word=duc,f=145,flags=,originalFreq=145
word=eut,f=145,flags=,originalFreq=145
word=forces,f=145,flags=,originalFreq=145
word=heures,f=145,flags=,originalFreq=145
word=historique,f=145,flags=,originalFreq=145
word=internationale,f=145,flags=,originalFreq=145
word=joueurs,f=145,flags=,originalFreq=145
word=jusqu'au,f=145,flags=,originalFreq=145
word=kilomètres,f=145,flags=,originalFreq=145
word=l'album,f=145,flags=,originalFreq=145
word=l'école,f=145,flags=,originalFreq=145
word=là,f=145,flags=,originalFreq=145
word=majorité,f=145,flags=,originalFreq=145
word=mettre,f=145,flags=,originalFreq=145
word=modèle,f=145,flags=,originalFreq=145
word=mot,f=145,flags=,originalFreq=145
word=passage,f=145,flags=,originalFreq=145
word=pièces,f=145,flags=,originalFreq=145
word=plutôt,f=145,flags=,originalFreq=145
word=principaux,f=145,flags=,originalFreq=145
word=pris,f=145,flags=,originalFreq=145
word=programme,f=145,flags=,originalFreq=145
word=qu'à,f=145,flags=,originalFreq=145
word=reçoit,f=145,flags=,originalFreq=145
word=sept,f=145,flags=,originalFreq=145
word=situation,f=145,flags=,originalFreq=145
word=sortie,f=145,flags=,originalFreq=145
word=taille,f=145,flags=,originalFreq=145
word=technique,f=145,flags=,originalFreq=145
word=titres,f=145,flags=,originalFreq=145
word=valeur,f=145,flags=,originalFreq=145
word=vient,f=145,flags=,originalFreq=145
word=épouse,f=145,flags=,originalFreq=145
word=activités,f=144,flags=,originalFreq=144
word=aucun,f=144,flags=,originalFreq=144
word=bâtiment,f=144,flags=,originalFreq=144
word=celles,f=144,flags=,originalFreq=144
word=centrale,f=144,flags=,originalFreq=144
word=certain,f=144,flags=,originalFreq=144
word=chemin,f=144,flags=,originalFreq=144
word=comprend,f=144,flags=,originalFreq=144
word=considéré,f=144,flags=,originalFreq=144
word=derniers,f=144,flags=,originalFreq=144
word=dix,f=144,flags=,originalFreq=144
word=données,f=144,flags=,originalFreq=144
word=double,f=144,flags=,originalFreq=144
word=force,f=144,flags=,originalFreq=144
word=hockey,f=144,flags=,originalFreq=144
word=journal,f=144,flags=,originalFreq=144
word=l'aide,f=144,flags=,originalFreq=144
word=l'eau,f=144,flags=,originalFreq=144
word=large,f=144,flags=,originalFreq=144
word=libre,f=144,flags=,originalFreq=144
word=lignes,f=144,flags=,originalFreq=144
word=livres,f=144,flags=,originalFreq=144
word=malgré,f=144,flags=,originalFreq=144
word=marché,f=144,flags=,originalFreq=144
word=mission,f=144,flags=,originalFreq=144
word=moyen,f=144,flags=,originalFreq=144
word=musée,f=144,flags=,originalFreq=144
word=nature,f=144,flags=,originalFreq=144
word=parties,f=144,flags=,originalFreq=144
word=permettant,f=144,flags=,originalFreq=144
word=pratique,f=144,flags=,originalFreq=144
word=presque,f=144,flags=,originalFreq=144
word=prise,f=144,flags=,originalFreq=144
word=qualité,f=144,flags=,originalFreq=144
word=rouge,f=144,flags=,originalFreq=144
word=royaume,f=144,flags=,originalFreq=144
word=russe,f=144,flags=,originalFreq=144
word=référence,f=144,flags=,originalFreq=144
word=régions,f=144,flags=,originalFreq=144
word=source,f=144,flags=,originalFreq=144
word=station,f=144,flags=,originalFreq=144
word=surface,f=144,flags=,originalFreq=144
word=termine,f=144,flags=,originalFreq=144
word=terrain,f=144,flags=,originalFreq=144
word=vallée,f=144,flags=,originalFreq=144
word=éléments,f=144,flags=,originalFreq=144
word=ancienne,f=143,flags=,originalFreq=143
word=apparaît,f=143,flags=,originalFreq=143
word=appelée,f=143,flags=,originalFreq=143
word=champion,f=143,flags=,originalFreq=143
word=cité,f=143,flags=,originalFreq=143
word=classement,f=143,flags=,originalFreq=143
word=clubs,f=143,flags=,originalFreq=143
word=commerce,f=143,flags=,originalFreq=143
word=compétition,f=143,flags=,originalFreq=143
word=comté,f=143,flags=,originalFreq=143
word=conditions,f=143,flags=,originalFreq=143
word=cour,f=143,flags=,originalFreq=143
word=critique,f=143,flags=,originalFreq=143
word=d'or,f=143,flags=,originalFreq=143
word=d'État,f=143,flags=,originalFreq=143
word=divers,f=143,flags=,originalFreq=143
word=doivent,f=143,flags=,originalFreq=143
word=désormais,f=143,flags=,originalFreq=143
word=enfin,f=143,flags=,originalFreq=143
word=européenne,f=143,flags=,originalFreq=143
word=fonctions,f=143,flags=,originalFreq=143
word=forte,f=143,flags=,originalFreq=143
word=huit,f=143,flags=,originalFreq=143
word=italien,f=143,flags=,originalFreq=143
word=jeux,f=143,flags=,originalFreq=143
word=joué,f=143,flags=,originalFreq=143
word=l'Union,f=143,flags=,originalFreq=143
word=l'homme,f=143,flags=,originalFreq=143
word=l'occasion,f=143,flags=,originalFreq=143
word=lac,f=143,flags=,originalFreq=143
